### orig trial#;type;Face #;sex; spatial change ;position of changed face; r-k(ascii) ;file name left ;  file name right ;seq;FaceAge
1;upright ;1;female;eyes up;right;different;014_4_f.jpg;014_4_f_eyes_up.jpg;80;4years01
2;upright ;2;female;eyes in;left;different;07_4_f.jpg;07_4_f_eyes_in.jpg;58;4years02
3;upright ;3;female;moth up;right;different;014_5_f.jpg;014_5_f_moth_up.jpg;43;5years01
4;upright ;4;female;none;;same;011_5_f.jpg;011_5_f_same.jpg;15;5years02
5;upright ;5;female;none;;same;013_6_f.jpg;013_6_f_same.jpg;32;6years01
6;upright ;6;female;none;;same;014_6_f.jpg;014_6_f_same.jpg;100;6years02
7;upright ;1;male;eyes up;right;different;012_4_m.jpg;012_4_m_eyes_up.jpg;93;4years01
8;upright ;2;male;eyes in;left;different;010_4_m.jpg;010_4_m_eyes_in.jpg;20;4years02
9;upright ;3;male;moth up;right;different;09_5_m.jpg;09_5_m_moth_up.jpg;51;5years01
10;upright ;4;male;none;;same;06_5_m.jpg;06_5_m_same.jpg;40;5years02
11;upright ;5;male;none;;same;01_6_m.jpg;01_6_m_same.jpg;109;6years01
12;upright ;6;male;none;;same;04_6_m.jpg;04_6_m_same.jpg;64;6years02
13;inverted;1;female;eyes up;right;different;014_4_f_in.jpg;014_4_f_eyes_up_in.jpg;37;4years01
14;inverted;2;female;eyes in;right;different;07_4_f_in.jpg;07_4_f_eyes_in_in.jpg;114;4years02
15;inverted;3;female;moth up;left;different;014_5_f_in.jpg;014_5_f_moth_up_in.jpg;26;5years01
16;inverted;4;female;none;;same;011_5_f_in.jpg;011_5_f_same_in.jpg;119;5years02
17;inverted;5;female;none;;same;013_6_f_in.jpg;013_6_f_same_in.jpg;105;6years01
18;inverted;6;female;none;;same;014_6_f_in.jpg;014_6_f_same_in.jpg;107;6years02
19;inverted;1;male;eyes up;right;different;012_4_m_in.jpg;012_4_m_eyes_up_in.jpg;38;4years01
20;inverted;2;male;eyes in;right;different;010_4_m_in.jpg;010_4_m_eyes_in_in.jpg;3;4years02
21;inverted;3;male;moth up;left;different;09_5_m_in.jpg;09_5_m_moth_up_in.jpg;76;5years01
22;inverted;4;male;none;;same;06_5_m_in.jpg;06_5_m_same_in.jpg;22;5years02
